yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;yolcu_sayisi
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ortaköy;7338;11297
2025;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Kınalıada;6428;14182
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eminönü - Üsküdar;130107;203743
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Küçüksu;8865;27257
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Emirgan;6726;10336
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bebek;8287;13301
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Karaköy;12404;19043
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;HEYBELIADA;16901;38161
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Arnavutköy;5306;9931
2025;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Beşiktaş;316238;693694
2025;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Balon;40210;63290
2025;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Üsküdar;281002;678935
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kasımpaşa;17221;34677
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Balat;3085;5023
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Rumeli Kavağı;2607;4276
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BESIKTAS;12490;23421
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy Yeni;2;3
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;ORTAKOY;22302;38716
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KARAKOY;121600;197447
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;175415;288605
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BOSTANCI;2605;5990
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY ESKI;141490;216573
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BARBAROS;102253;157975
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;;11258;19150
2025;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Bostancı;50052;101068
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Kavağı;6330;10390
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Paşabahçe;1143;3342
